isbn,main author
9780142437803,Edith Wharton
9780553258479,Leon Uris
9780701187934,Tim Butcher 
9780743269513,Stephen R. Covey
9780385524940,Andrew Davidson 
9780743453257,Winston Groom
9780449912553,Mary Doria Russell 
9780375836671,Markus Zusak 
9780062498533,Angie Thomas 
9781476712987,Jamie McGuire 
9781936305629,Sylvain Reynard 
9780385341653,Karen Marie Moning 
9780140449068,Jules Verne
9780552992091,John Irving 
9780743455961,Stephen King 
9780330449601,Kate Morton 
9780446364492,Robert James Waller
9780312995058,Jeffrey Archer
9780425263914,Sylvia Day 
9780689865404,Scott Westerfeld 
9780679732181,William Faulkner
9780380731862,Dennis Lehane 
9780061020681,Terry Pratchett
9781595143181,Richelle Mead 
9780061245091,Jeaniene Frost 
9780307276902,James Frey
9780060584757,Dennis Lehane 
9781423146735,Rick Riordan 
9780451229854,J.R. Ward 
9781905654949,P.C. Cast 
9780425197547,Laurell K. Hamilton 
9780375822742,Jeanne DuPrau
9780441013333,Charlaine Harris 
9780743247542,Jeannette Walls
9780310902713,Anonymous
9780062348678,Becky Albertalli 
B0745KTJSY,Catherine Marshall
9780446579933,Nicholas Sparks 
9780786818594,Jonathan Stroud 
9780689865190,Ellen Hopkins 
9780385603102,Mark Z. Danielewski 
9780425172902,Tom Clancy
9780701183608,Tim Butcher 
9780141184272,Virginia Woolf
9781560252481,Hubert SelJr.
9780451171351,Irving Stone
9780061978067,Lauren Oliver 
9780307594778,Stieg Larsson
9780061374227,David Wroblewski
9780876852637,Charles Bukowski
9780064404778,Robin McKinley
9780446672214,Billie Letts
9780307279460,Bill Bryson
9780802140180,William S. Burroughs
9780679720225,Albert Camus
9781842430224,Tom Robbins
9781416974505,L.J. Smith 
9781844082933,Edith Wharton
9780525421580,John Green 
9780811216548,Louis-Ferdinand Céline
9781842322765,Nevil Shute
9781461091110,S.C. Stephens 
9780451196712,Richard Bachman 
9780446615860,Nicholas Sparks 
9781590385814,Brandon Mull 
9780375727276,Bret Easton Ellis
9780140045291,Ken Kesey
9781579126278,Agatha Christie
9780425266748,Tammara Webber 
9780553381535,Pat Conroy
9780140185850,Yevgeny Zamyatin
9780061150142,Jodi Picoult 
9780061140976,L.J. Smith 
9780140348934,Mildred D. Taylor
9780671027384,Dan Brown 
9780385341639,Karen Marie Moning 
9780312979973,Sherrilyn Kenyon 
9780142501559,Sarah Dessen 
B00HB62MC0,Colleen Hoover 
9780385739160,Lauren Kate 
9781408857908,Sarah J. Maas 
9780452286030,Kelley Armstrong 
B00OICLVBI,Gary Chapman
9780140449334,Marcus Aurelius
9780441015894,Charlaine Harris 
9780340829783,Stephen King 
9780143036371,J.M. Coetzee
9780451191151,Ayn Rand
9780061668036,Aprilynne Pike
9780441014941,Charlaine Harris 
9781594489587,Junot Díaz
9780307341563,Gillian Flynn 
9780486223056,Samuel Taylor Coleridge
9780451210852,Stephen King 
9780140449181,Krishna-Dwaipayana Vyasa
9780060987510,Nancy E. Turner
9780441017157,Charlaine Harris 
9780307931887,David Levithan 
9780440222651,Nicholas Evans
9780752865331,Dashiell Hammett
9780330349420,Robert Musil
9780224087919,Irvine Welsh
9781402784033,Colleen Houck 
9781862301382,Brian Jacques
B003JTHXOK,Nicholas Sparks 
9780140275360,Homer
9780679744399,Cormac McCarthy
9781400034208,W. Somerset Maugham
9780061284205,Erin Hunter
9780142406632,John Flanagan
9780385339698,John Grisham 
9781786495259,André Aciman 
9781423121305,Rachel Hawkins 
9780061996160,Cynthia Hand 
9780765316882,Brandon Sanderson 
9780679732266,William Faulkner
9780446696111,Nicholas Sparks 
9780143129554,Don DeLillo
9780670011940,Sarah Dessen 
9780670674244,Munro Leaf
9780141441160,E.M. Forster
9780060572969,Kim Harrison 
9780060874162,Alex Flinn 
9780312151256,M.M. Kaye
9780061583070,Jeaniene Frost 
9780679740674,Philip K. Dick
9780446696135,Nicholas Sparks 
9780578433868,Aimee Cabo Nikolov 
9781595143198,Richelle Mead 
9781937819903,Ki Longfellow 
9780786838929,Melissa de la Cruz 
9781408852590,Sarah J. Maas 
9780446611084,James Patterson 
9781406914832,Henrik Ibsen
9780743477574,William Shakespeare
9780060589288,Paulo Coelho 
9780385315142,Peter Høeg
9780307275554,Lauren Weisberger
9781420925531,Arthur Conan Doyle
9780060515195,Neil Gaiman 
9780385539258,Hanya Yanagihara 
9781420925807,William Blake
9780451222725,J.R. Ward 
9780312422271,Augusten Burroughs 
9781862308169,Tabitha Suzuma 
9780385339087,John Grisham 
9780373210183,Julie Kagawa 
9780553213294,James Fenimore Cooper
9781595143976,Beth Revis 
9780689840920,Gary Paulsen
9780679776819,Sebastian Faulks
9780552154284,Terry Pratchett
9780465026562,Douglas R. Hofstadter
9781847241696,John Ajvide Lindqvist
9780399254826,Andrea Cremer 
9780451457813,Jim Butcher 
9780670010882,Sarah Dessen 
9780802135193,Jacqueline Susann
9780316125581,Stephenie Meyer
9780143038108,Amy Tan 
9780192838995,Alexander Pushkin
9780061284397,Claudia Gray 
9780399254123,Ruta Sepetys 
9780143039976,Shirley Jackson
9780586217832,Raymond E. Feist
9780151010264,George Orwell
9781101057025,Sarah Waters
9780441016150,Patricia Briggs
9780671741037,Robert R. McCammon
9780963192547,Anne Rice
9780393322231,Vincent Bugliosi
9780316952668,Herman Wouk
9780373210138,Julie Kagawa 
9780226500669,Norman Maclean
9780670844876,Jon Scieszka
B000SEHIB2,Trenton Lee Stewart 
9780553381665,Jean M. Auel
9780143039969,Pablo Neruda
9780316155595,James Patterson 
9780316155601,James Patterson 
9780802720856,Simone Elkeles 
9781423113492,Rick Riordan 
9780060957902,H.P. Lovecraft
9780156453806,Italo Calvino
9780765376459,V.E. Schwab
9780553496642,Nicola Yoon 
9780099244721,Michael Crichton
9781581345285,Frank E. Peretti
9780394800202,P.D. Eastman
9780425190371,Alice Hoffman 
9780312532765,Alyson Noel 
9780345418906,Douglas Adams
9781401303273,Mitch Albom 
9780802131782,Henry Miller
9780316013680,Sherman Alexie
9780385339162,Karen Marie Moning 
9780312650247,P.C. Cast 
9780575076815,Philip K. Dick
9780316033671,Brent Weeks 
9780099483502,Günter Grass
9780983157205,Jennifer L. Armentrout 
9780743466523,Ann-Marie MacDonald
9780312642983,Marissa Meyer 
9781400052172,Rebecca Skloot 
9781538727379,Mia Sheridan 
9780060590277,Christopher Moore 
9781622660759,Jennifer L. Armentrout 
9781429956529,Amanda Hocking 
9781842323007,Nevil Shute
9780330493741,Jacqueline Carey 
9780684844770,Ursula Hegi
9780439554008,Cornelia Funke 
9780375714832,Marjane Satrapi
9780571203130,Nikos Kazantzakis
9780140620610,Henry James
9781442468351,Cassandra Clare 
9780060913076,Thomas Pynchon
9781400064564,Peter Benchley
B0187OW2OM,Kathleen Zamboni McCormick 
9780062011992,Josephine Angelini 
9780316017923,Malcolm Gladwell
9780156949606,Virginia Woolf
9781594631764,Khaled Hosseini 
9780140449303,Giovanni Boccaccio
9781573225786,James McBride 
9780060776091,Aldous Huxley
9780062060556,S.J. Watson 
9780140447422,Émile Zola
9780385334143,Kurt Vonnegut Jr.
9780061583216,Jeaniene Frost 
9780141183534,Virginia Woolf
9780763625290,Kate DiCamillo 
9780446696128,Nicholas Sparks 
9780142437148,Murasaki Shikibu
9781400034710,Gabriel García Márquez
9780375726408,Richard Russo 
9780553813951,Nicholas Sparks 
9780340818671,Stephen King 
B00AOTGI08,Abbi Glines 
9780553381528,Laurie R. King 
9780143039020,Graham Greene
9780142001431,Geraldine Brooks 
9780440416791,Louise Fitzhugh
