,0,1,2,3,4,5,6
Michelle McNamara,Michelle Eileen McNamara(1970-04-14)April 14, 1970Oak Park, Illinois, U.S.,,,
C.S. Johnson ,n,o,n,e,,,
Kathleen Glasgow ,n,o,n,e,,,
Mohsin Hamid, (1971-07-23) 23 July 1971 (age 51)Lahore, Pakistan,,,,,
Christina Lauren ,Authors,,,,,,
Don Winslow , (1953-10-31) October 31, 1953 (age 69)New York City, U.S.,,,,
Nathan Hill,n,o,n,e,,,
Barbara Davis ,Barbara LevineOctober 9, 1929New York City,,,,,
James Clear ,n,o,n,e,,,
Pittacus Lore,Pittacus Lore (James Frey and Jobie Hughes),,,,,,
Sarah Pinborough ,1972Milton Keynes, England,,,,,
Zadie Smith, (1975-10-25) 25 October 1975 (age 47)Willesden, London, England,,,,
S.A. Chakraborty ,n,o,n,e,,,
Carrie Hope Fletcher, (1992-10-22) 22 October 1992 (age 30)South Harrow, London, England,,,,
Seth Dickinson ,United States,,,,,,
Nina George ,(1973-08-30)30 August 1973Bielefeld, West Germany,,,,,
Jessica Townsend ,Jessica Townsend (1985-04-18) April 18, 1985 (age 37)Caloundra, Queensland, Australia,,,
C.L. Hunter ,n,o,n,e,,,
Lisa Maxwell ,n,o,n,e,,,
John Carreyrou,French-American,,,,,,
Cherlina Works ,n,o,n,e,,,
Chevy Stevens ,n,o,n,e,,,
Erin A. Craig ,n,o,n,e,,,
Elizabeth Acevedo ,New York, NY,,,,,
James Dashner ,James Smith Dashner (1972-11-26) November 26, 1972 (age 50)Austell, Georgia, United States,,,
Katharine McGee ,n,o,n,e,,,
Claire McGowan,n,o,n,e,,,
