,0,1,2,3,4,5,6
Ann Valett ,n,o,n,e,,,
Joelle Charbonneau,n,o,n,e,,,
Esphyr Slobodkina,(1908-09-22)September 22, 1908Chelyabinsk, Russia,,,,
Jewel E. Ann ,n,o,n,e,,,
Thalia Kalkipsakis ,n,o,n,e,,,
Mylo Carbia ,n,o,n,e,,,
Lisa Graff, (1981-01-10) January 10, 1981 (age 41)Canada,,,,,
Shantelle Mary Hannu ,n,o,n,e,,,
Cynthia Eden ,n,o,n,e,,,
Doreen Virtue,n,o,n,e,,,
Lisa Schroeder ,American,,,,,,
Greg Rucka,Gregory Rucka (1969-11-29) November 29, 1969 (age 53)San Francisco, California, US,,,
Catherine Banner , (1989-04-22) 22 April 1989 (age 33)Cambridge, United Kingdom,,,,,
Serena Valentino ,American,,,,,,
Ashley Antoinette ,n,o,n,e,,,
W.S. Gilbert,n,o,n,e,,,
Taylor Anderson ,Novelist,,,,,,
Kathryn Barker,n,o,n,e,,,
Isabel Greenberg ,n,o,n,e,,,
Ashlee Willis ,n,o,n,e,,,
Magda Szubanski,Magdalene Mary Therese Szubanski[1][2] (1961-04-12) 12 April 1961 (age 61)Liverpool, Merseyside, England,,,,
Reese Witherspoon,Laura Jeanne Reese Witherspoon (1976-03-22) March 22, 1976 (age 46)New Orleans, Louisiana, U.S.,,,
ONE,n,o,n,e,,,
Elizabeth Lim ,n,o,n,e,,,
Heather Christle ,n,o,n,e,,,
Tracy Banghart ,n,o,n,e,,,
Denis Markell ,n,o,n,e,,,
Danny Winter,"
Daniel Thomas Winter[1]",,,,,,
N.R. Walker,n,o,n,e,,,
Helen Fitzgerald ,n,o,n,e,,,
Joanna Rakoff ,n,o,n,e,,,
Hayden Wand ,n,o,n,e,,,
Stacy King ,n,o,n,e,,,
Gemma Cairney,Gemma Margaret Cairney (1985-03-19) 19 March 1985 (age 37)Birmingham, West Midlands, England,,,,
Susan Meissner ,n,o,n,e,,,
Peter J. Tomasi , (1967-08-18) August 18, 1967 (age 55),,,,,
Katie O'Neill,n,o,n,e,,,
Andrea Wulf,1972New Delhi, India,,,,,
Paulina Flores,n,o,n,e,,,
E.G. Patrick ,n,o,n,e,,,
Piers Torday ,n,o,n,e,,,
Onjali Q. Raúf,n,o,n,e,,,
Nick Spalding ,1974 (age 47–48)United Kingdom,,,,,,
Erin Gough,n,o,n,e,,,
Anna Lyndsey,n,o,n,e,,,
Giselle Simlett ,n,o,n,e,,,
Sarah Hepola,n,o,n,e,,,
Aleš Kot ,n,o,n,e,,,
Non Pratt,n,o,n,e,,,
Daishu Ma,n,o,n,e,,,
Molly Ostertag,Molly Knox Ostertag (1991-10-28) October 28, 1991 (age 31)[1][2],,,,,
Beth Ferry,n,o,n,e,,,
J.L. Weil ,n,o,n,e,,,
Connie Willis,Constance Elaine Trimmer (1945-12-31) December 31, 1945 (age 76)Denver, Colorado, US,,,
Kaylee Ryan ,n,o,n,e,,,
K.N. Kukoyi ,n,o,n,e,,,
Rudy Francisco, (1982-07-27) July 27, 1982 (age 40)San Diego, California,,,,
Alexandra Hawkins ,n,o,n,e,,,
Fiona Mozley,1988 (age 33–34)Hackney, London, England,,,,
Dave Rudden ,n,o,n,e,,,
Karina Yan Glaser ,n,o,n,e,,,
Philip Zaleski ,n,o,n,e,,,
John F. MacArthur Jr.,n,o,n,e,,,
Ian W. Toll ,1967 (age 54–55),,,,,,
S.K. Tremayne ,n,o,n,e,,,
A.C. Gaughen ,n,o,n,e,,,
E.E. Holmes ,n,o,n,e,,,
Perdita Cargill ,n,o,n,e,,,
Leslie McAdam ,n,o,n,e,,,
Willie Nelson,Willie Hugh Nelson (1933-04-29) April 29, 1933 (age 89)Abbott, Texas, U.S.,,,
Caseen Gaines ,n,o,n,e,,,
Jokha Alharthi,1978 (age 43–44)Oman,,,,,,
Nizrana Farook,n,o,n,e,,,
Nathan Lane,Joseph Lane (1956-02-03) February 3, 1956 (age 66)Jersey City, New Jersey, U.S.,,,
Ursula Vernon,Ursula Vernon (1977-05-28) May 28, 1977 (age 45)Japan[1],,,,,
Dani Pettrey ,n,o,n,e,,,
Hannah Tinti ,1973 (age 48–49)United States,,,,,,
Natasza Waters ,n,o,n,e,,,
Brian Michael Bendis, (1967-08-18) August 18, 1967 (age 55)Cleveland, Ohio, U.S.,,,
Jarrett J. Krosoczka , (1977-12-22) December 22, 1977 (age 44)Worcester, Massachusetts, U.S.,,,
J.D. Robb ,Eleanor Marie Robertson (1950-10-10) October 10, 1950 (age 72)Silver Spring, Maryland, U.S.,,,
Steve Berry ,n,o,n,e,,,
Laurie R. King , (1952-09-19) September 19, 1952 (age 70)Oakland, California, U.S.,,,
Rebecca Stead,Rebecca Stead (1968-01-16) January 16, 1968 (age 54)New York City, US,,,,
Robert Jordan,James Oliver Rigney Jr.(1948-10-17)October 17, 1948Charleston, South Carolina, U.S.,,,
Ed Brubaker, (1966-11-17) November 17, 1966 (age 56)Bethesda, Maryland, US,,,
Megan Shepherd ,n,o,n,e,,,
Karen Chance ,n,o,n,e,,,
Benjamin Johncock ,n,o,n,e,,,
Laurie Hernandez,Lauren Zoe Hernandez,,,,,,
T.S. Joyce ,n,o,n,e,,,
Carrie Ann DiRisio ,n,o,n,e,,,
Shanna Handel ,n,o,n,e,,,
Gabrielle Goldsby,n,o,n,e,,,
Scott Lobdell ,1960 (age 61–62),,,,,,
Elizabeth Berg,n,o,n,e,,,
Morgan L. Busse ,n,o,n,e,,,
Neil Z. Miller,n,o,n,e,,,
Rick Steves, (1955-05-10) May 10, 1955 (age 67)Barstow, California, U.S.,,,
Lydia Michaels ,n,o,n,e,,,
Beth Kephart ,n,o,n,e,,,
Juliana Barbassa ,n,o,n,e,,,
Christopher Barzak , (1975-07-21) July 21, 1975 (age 47)Warren, Ohio,,,,
Kristen Pro,n,o,n,e,,,
Catherynne M. Valente , (1979-05-05) May 5, 1979 (age 43)Seattle, Washington, U.S.,,,
Chris ,/krɪs/,,,,,,
Rachel Hawkins ,Rachel Valerie Hawkins,,,,,,
Michelle Tea,Michelle Tomasik1971 (age 50–51)Chelsea, Massachusetts , United States,,,,
Scott Lobdell,1960 (age 61–62),,,,,,
Dale Bredesen,n,o,n,e,,,
Megan Green ,Joseph Vollmer (interim)Lewis Reed,,,,,,
Carlton Mellick III , (1977-07-02) July 2, 1977 (age 45)Phoenix, Arizona, United States,,,
Ross Gay, (1974-08-01) August 1, 1974 (age 48)Youngstown, Ohio, U.S.,,,
Jennifer Ackerman,writer,,,,,,
Nadia Hashimi , (1977-12-12) December 12, 1977 (age 45)Queens, New York, U.S.,,,
Rebecca Maizel ,n,o,n,e,,,
Douglas R. Casey,n,o,n,e,,,
Jessi Gage ,n,o,n,e,,,
Jonathan Franzen,Jonathan Earl Franzen (1959-08-17) August 17, 1959 (age 63)Western Springs, Illinois, U.S.,,,
Karen Witemeyer ,n,o,n,e,,,
Scott Sigler ,Scott Carl SiglerCheboygan, Michigan, U.S.,,,,
Mary Berry,Mary Rosa Alleyne Berry (1935-03-24) 24 March 1935 (age 87)Bath, Somerset, England,,,,
L.M. Krier ,n,o,n,e,,,
John Keene ,n,o,n,e,,,
Erin Fletcher ,n,o,n,e,,,
Allen Zadoff ,Boston, Massachusetts, U.S.,,,,
Nick Seluk ,Nick Seluk,,,,,,
Riad Sattouf, (1978-05-05) 5 May 1978 (age 44)Paris, France,,,,,
Lisa Patton ,n,o,n,e,,,
Jennifer Bell,n,o,n,e,,,
Emma Lord ,n,o,n,e,,,
Penelope Sky,n,o,n,e,,,
Julie Klassen ,Writer,,,,,,
Santino Hassell ,n,o,n,e,,,
Amerie ,Amerie Mi Marie Rogers,,,,,,
Tom Bower,Thomas Michael Bower (1946-09-28) 28 September 1946 (age 76)England,,,,,,
Michael S. Heiser,n,o,n,e,,,
Aziz Ansari,Aziz Ismail Ansari,,,,,,
Alex Bertie,Alex Ash Bertie (1995-11-02) 2 November 1995 (age 27)Dorset, England, United Kingdom,,,,
Cory Doctorow, (1971-07-17) July 17, 1971 (age 51)Toronto, Ontario, Canada,,,
Angelina J. Steffort ,n,o,n,e,,,
Jill Mansell,n,o,n,e,,,
Katie Oliver ,n,o,n,e,,,
Bill O'Reilly ,n,o,n,e,,,
Robert Fabbri,n,o,n,e,,,
Jasinda Wilder ,n,o,n,e,,,
Gregory Scott Katsoulis ,n,o,n,e,,,
Jacob Tobia, (1991-08-07) August 7, 1991 (age 31)[1]Raleigh, North Carolina, U.S.,,,
Misa Sugiura ,n,o,n,e,,,
Keary Taylor ,n,o,n,e,,,
Kindle Alexander ,n,o,n,e,,,
Julianna Keyes ,n,o,n,e,,,
Sarah Fine ,n,o,n,e,,,
Brian Freeman ,n,o,n,e,,,
Christina June ,n,o,n,e,,,
Alison Goodman ,12 August 1966Melbourne, Victoria, Australia,,,,
Regina Jennings ,n,o,n,e,,,
Mark Crilley, (1966-05-21) May 21, 1966 (age 56)Detroit, Michigan, United States,,,
Thi Bui,1975Saigon, Vietnam,,,,,
Kathryn Purdie ,n,o,n,e,,,
Meik Wiking,n,o,n,e,,,
Juli Alexander ,n,o,n,e,,,
Tim Baker ,n,o,n,e,,,
Adriana Locke ,n,o,n,e,,,
Kirsty Moseley ,n,o,n,e,,,
Dusti Bowling ,n,o,n,e,,,
Joëlle Jones , (1980-02-20) February 20, 1980 (age 42)Boise, Idaho,,,,
Anthony Marra ,1984Washington, D.C.,,,,,
Catana Chetwynd,American,,,,,,
J. Lynn,n,o,n,e,,,
Adrienne Wilder ,n,o,n,e,,,
Shannon Hale ,Shannon Bryner (1974-01-26) January 26, 1974 (age 48)Salt Lake City, Utah, U.S.,,,
Susan Dennard , (1984-02-25) February 25, 1984 (age 38)Virginia, USA,,,,
Robert Macfarlane ,n,o,n,e,,,
Maryrose Wood ,n,o,n,e,,,
Candace Bushnell , (1958-12-01) December 1, 1958 (age 64)Glastonbury, Connecticut, U.S.,,,
Peter Singer ,Peter Albert David Singer (1946-07-06) 6 July 1946 (age 76)[1]Melbourne, Victoria, Australia,,,,
S.J.D. Peterson ,n,o,n,e,,,
S.T. Abby,n,o,n,e,,,
Tianxia Bachang,n,o,n,e,,,
Victoria J. Coe ,n,o,n,e,,,
Kristin Rockaway ,n,o,n,e,,,
Danielle Rollins,n,o,n,e,,,
Andy McNab,Steven Billy Mitchell,,,,,,
Gregory Mone ,n,o,n,e,,,
O.N. Stefan ,n,o,n,e,,,
Stephen Moss,(1960-04-25)25 April 1960,,,,,,
Jeremy Lachlan,n,o,n,e,,,
Joy Harjo ,Joy Foster (1951-05-09) May 9, 1951 (age 71)Tulsa, Oklahoma, U.S.,,,
Brenna Yovanoff ,n,o,n,e,,,
Chris Kuzneski , (1969-09-02) September 2, 1969 (age 53)Indiana, Pennsylvania United States,,,,
Russell D. Moore,Phillip Bethancourt,,,,,,
Amelia Hutchins ,n,o,n,e,,,
Lauren Nicolle Taylor ,n,o,n,e,,,
Debbie Tung ,n,o,n,e,,,
Carole EstDagg ,n,o,n,e,,,
Jennifer Li Shotz,n,o,n,e,,,
Anna Quindlen, (1952-07-08) July 8, 1952 (age 70)Philadelphia, Pennsylvania, United States,,,
Nicole Castroman ,n,o,n,e,,,
Bree Barton ,n,o,n,e,,,
Paula Stokes ,n,o,n,e,,,
Tricia Clasen ,n,o,n,e,,,
Bren MacDibble , (1966-07-01) July 1, 1966 (age 56)Whanganui, New Zealand.,,,,
Jody Carrington ,n,o,n,e,,,
Meryl Wilsner ,n,o,n,e,,,
Karen White ,Tulsa, Oklahoma,,,,,
Victoria Ashley ,n,o,n,e,,,
Philip Gross,Delabole, Cornwall, England,,,,
Maris Black ,n,o,n,e,,,
Asahiro Kakashi ,n,o,n,e,,,
Linda Fairstein , (1947-05-05) May 5, 1947 (age 75)Mount Vernon, New York, U.S.,,,
Erin L. Schneider ,n,o,n,e,,,
Jen Malone ,n,o,n,e,,,
Sally J. Pla ,n,o,n,e,,,
Maria Hall ,n,o,n,e,,,
Anna Banks ,Niceville, Florida, US,,,,
Kristy Cunning,n,o,n,e,,,
Anna Kendrick,Anna Cooke Kendrick[1] (1985-08-09) August 9, 1985 (age 37)Portland, Maine, U.S.,,,
Vera Brosgol , (1984-08-02) August 2, 1984 (age 38)Moscow, Russian SFSR, Soviet Union,,,
Sandy Johnson ,Marilyn Lange,,,,,,
Patricia Forde ,n,o,n,e,,,
Ngozi Ukazu,American,,,,,,
Charles Stross , (1964-10-18) 18 October 1964 (age 58)[1]Leeds, England,,,,,
Alexandra Oliva ,n,o,n,e,,,
G.B. Hope ,n,o,n,e,,,
Cora Carmack ,n,o,n,e,,,
Janette Rallison , (1966-04-01) April 1, 1966 (age 56)Pullman, Washington,,,,
Donny Cates , (1984-09-14) September 14, 1984 (age 38)Dallas, Texas, United States,,,
Ben Clanton ,n,o,n,e,,,
Mandi Beck ,n,o,n,e,,,
Anna Lowenhaupt Tsing,Anna Lowenhaupt Tsing1952 (age 69–70),,,,,,
Ken Harrison,n,o,n,e,,,
Ben Hatke , (1977-06-04) June 4, 1977 (age 45)Lafayette, Indiana, U.S.,,,
Kaela Noel ,n,o,n,e,,,
Jennifer Weiner , (1970-03-28) March 28, 1970 (age 52)DeRidder, Louisiana,,,,
Sara Saedi ,n,o,n,e,,,
John H. Walton,1952,,,,,,
Mark Siegel ,Ann Arbor, Michigan,,,,,
Sharon Guskin ,n,o,n,e,,,
Laurel Snyder ,1974 (age 47–48)[citation needed]Baltimore, Maryland, U.S.,,,,
Matthew Loux,n,o,n,e,,,
Yoon Ha Lee, (1979-01-26) January 26, 1979 (age 43)Houston, Texas,,,,
Alison Cherry ,n,o,n,e,,,
Eve Langlais ,n,o,n,e,,,
John A. Farrell ,Writer,,,,,,
Peter Robinson,n,o,n,e,,,
Suzanne Nelson ,n,o,n,e,,,
Sarah Porter ,(1813-08-16)August 16, 1813Farmington, Connecticut, U.S.,,,
Bonnie S. Calhoun ,n,o,n,e,,,
J. Nathan ,n,o,n,e,,,
Derek 'Del Boy' Trotter,n,o,n,e,,,
KirLarson ,n,o,n,e,,,
Mandy M. Roth ,n,o,n,e,,,
Cory Leonardo ,n,o,n,e,,,
Lynn Joseph ,Writerlawyer,,,,,,
Kelsey Sutton ,n,o,n,e,,,
Brendan Kiely ,n,o,n,e,,,
Paula Brackston ,Dorset, England,,,,,
Meg Leder,n,o,n,e,,,
pleasefindthis ,n,o,n,e,,,
K.L. Grayson ,n,o,n,e,,,
Dee Henderson ,n,o,n,e,,,
Mariana Zapata ,n,o,n,e,,,
Stacey Kade ,Author,,,,,,
G. Willow Wilson ,Gwendolyn Willow Wilson (1982-08-31) August 31, 1982 (age 40)New Jersey, United States,,,,
Sally Nicholls, (1983-06-22) 22 June 1983 (age 39)Stockton-on-Tees, England, United Kingdom,,,,
Kimberly McCreight ,Novelist,,,,,,
Stuart Swezey ,n,o,n,e,,,
Lou Berney ,n,o,n,e,,,
Joshilyn Jackson ,American,,,,,,
Ari Marmell ,Ari MarmellNew York,,,,,,
Richard Peck,n,o,n,e,,,
Jacky Colliss Harvey ,n,o,n,e,,,
Gerard Way,Gerard Arthur Way (1977-04-09) April 9, 1977 (age 45)Summit, New Jersey, U.S.,,,
Christina Thompson ,Switzerland,,,,,,
Laura J. Moss ,n,o,n,e,,,
Alexander Weinstein,(1897-01-21)21 January 1897Saratov, Russia,,,,,
Charlie Jane Anders ,Connecticut. United States,,,,,,
Amy Ellis Nutt,April 26, 1955Staten Island New York,,,,,
Robert J. Gordon, (1940-09-03) September 3, 1940 (age 82),,,,,
Lauren St. John ,December 1966Gatooma, Rhodesia (now Kadoma, Zimbabwe),,,,
Ajay K. Pandey ,Uttar Pradesh, India,,,,,
Thomas Locke ,John Thornton,,,,,,
Jessica Park ,"
Jessica Park",,,,,,
David Rains Wallace,n,o,n,e,,,
William Zinsser,n,o,n,e,,,
Susan Green,n,o,n,e,,,
Kate Saunders, (1960-05-04) 4 May 1960 (age 62)London,,,,,,
Giacomo Leopardi,Giacomo Taldegardo Francesco di Sales Saverio Pietro Leopardi(1798-06-29)29 June 1798Recanati, Papal States,,,,,
Tomi Lahren,Tomi Rae Augustus Lahren[1] (1992-08-11) August 11, 1992 (age 30)Rapid City, South Dakota, U.S.,,,
Louis de Bernières, (1954-12-08) 8 December 1954 (age 68)Woolwich, London, England,,,,
Leisa Rayven ,n,o,n,e,,,
Tracy Chevalier ,Tracy Rose Chevalier (1962-10-19) 19 October 1962 (age 60)Washington, D.C., U.S.,,,,
Chelsea Camaron ,n,o,n,e,,,
Lisa See , (1955-02-18) 18 February 1955 (age 67)Paris, France,,,,,
Toni Aleo ,n,o,n,e,,,
Lynda Cohen Loigman ,n,o,n,e,,,
Jon Krakauer , (1954-04-12) April 12, 1954 (age 68)Brookline, Massachusetts, U.S.,,,
Andrea Bobotis ,n,o,n,e,,,
Jess Epps ,n,o,n,e,,,
Sophie Cleverly ,n,o,n,e,,,
Ania Ahlborn ,Ciechanów, Poland,,,,,
Mike Gunton,n,o,n,e,,,
Katie Ruggle ,n,o,n,e,,,
Matt McCarthy ,n,o,n,e,,,
Kayla Rae Whitaker ,n,o,n,e,,,
Aline Ohanesian ,n,o,n,e,,,
Charlene Hartnady ,n,o,n,e,,,
Jess Kidd ,n,o,n,e,,,
Jodi Lynn Anderson ,American,,,,,,
Janet Lee Carey , (1954-01-11) January 11, 1954 (age 68)New York, US,,,,
Julia Quinn ,Julie Cotler1970 (age 51–52)United States,,,,,,
George Takei ,Hosato Takei (1937-04-20) April 20, 1937 (age 85)Los Angeles, California, U.S.,,,
Alicia Montgomery ,n,o,n,e,,,
Graham Moore ,n,o,n,e,,,
Layla Hagen ,n,o,n,e,,,
Jill Alexander Essbaum ,1971 (age 50–51)Bay City, Texas, United States,,,,
Amanda Milo ,n,o,n,e,,,
Elle Marr ,n,o,n,e,,,
Brian Staveley ,n,o,n,e,,,
R.J. Ellory,n,o,n,e,,,
Philip Reeve ,28 February 1966 (age 56)Brighton, England,,,,,
Ed Yong,Edmund Soon-Weng Yong (1981-12-17) 17 December 1981 (age 41)Malaysia,,,,,,
Faleena Hopkins ,n,o,n,e,,,
Sonja Yoerg ,n,o,n,e,,,
Cammie McGovern ,n,o,n,e,,,
Spencer Quinn ,n,o,n,e,,,
Amitav Ghosh, (1956-07-11) 11 July 1956 (age 66)[1]Kolkata, West Bengal, India,,,,
Stuart MacBride, (1969-02-27) 27 February 1969 (age 53)Dumbarton, Scotland,,,,,
Yukio Mishima,Kimitake Hiraoka(1925-01-14)14 January 1925Nagazumi-cho 2-chome, Yotsuya-ku, Tokyo City, Tokyo Prefecture, Empire of Japan[1],,
Jennifer Ashley ,n,o,n,e,,,
Karina Halle ,n,o,n,e,,,
S.B. Alexander ,n,o,n,e,,,
Jon H. Gutmacher ,n,o,n,e,,,
Carole Satyamurti,n,o,n,e,,,
Tim Burton,Timothy Walter Burton (1958-08-25) August 25, 1958 (age 64)Burbank, California, U.S.,,,
Maria Popova , (1984-07-28) July 28, 1984 (age 38)Bulgaria[where?],,,,,
Yana Toboso, (1984-01-24) January 24, 1984 (age 38)Warabi, Saitama, Japan,,,
Sally Field,Sally Margaret Field (1946-11-06) November 6, 1946 (age 76)Pasadena, California, U.S.,,,
Jessica Barry,n,o,n,e,,,
Aidan Willows ,n,o,n,e,,,
Tom Cox,n,o,n,e,,,
Sharyn McCrumb ,Sharyn Elaine Arwood (1948-02-26) February 26, 1948 (age 74)Wilmington, North Carolina,,,,
Erin Raegan ,n,o,n,e,,,
Jeanne St. James ,n,o,n,e,,,
Darynda Jones ,n,o,n,e,,,
Barbara Nickless ,n,o,n,e,,,
Misty Jae Ogert ,n,o,n,e,,,
Charlotte Wood,Charlotte Ann Wood1965 (age 56–57)Cooma, New South Wales, Australia,,,,
