,0
Katerina Diamond ,none
Hawa L Crickmore,none
Sabrina Benaim,1987-11-30
Fumio Sasaki,none
E.K. Blair ,none
Adrienne Maree Brown ,1978-09-06
Rachel Held Evans,1981-06-08
Matthew Quick ,1973-10-23
Charles Cumming,none
Lauren Child,1965-11-29
Ashley Elston ,none
Layne Fargo ,none
T.R. Horne ,none
Patrick Gale,none
André Alexis,none
Paolo Bacigalupi ,1972-08-06
Sophie Jordan ,none
Peadar Ó Guilín ,none
Jennifer Egan ,none
Adam Gidwitz ,1982-02-14
Virginia Boecker ,none
Chris Grabenstein ,none
Maggie Hall ,1853-12-26
Affinity Konar ,none
Kamila Shamsie,1973-08-13
Cara Delevingne,1992-08-12
Laurie Forest ,none
Danielle L. Jensen ,none
Mary Robinette Kowal ,1969-02-08
Maria V. Snyder ,1973-04-15
Lisa M. Orban ,none
Marieke Nijkamp ,1986-01-23
Amanda Foody ,none
Violet LeVoit ,none
Justin A. Reynolds ,none
Jon Padgett ,none
Peter Wohlleben,none
Harper Sloan ,none
Robert Harris ,none
Carian Cole ,none
Kristen Orlando ,none
John Corey Whaley,1984-01-19
Sue Lloyd-Roberts,1950-10-27
Lori Benton ,none
Megan Morrison ,none
Jazz Jennings,2000-10-06
Juliet Marillier ,1948-07-27
Margaret Atwood ,1939-11-18
Emily Giffin ,1972-03-20
Hope Jahren ,1969-09-27
Jen Calonita ,none
J.J. McAvoy,none
Rosamund Hodge ,none
Peggy Kern,none
Eugene Vodolazkin,1964-02-21
M.R. Carey ,none
Stan Lee,1922-12-28
Laura Marshall,1993-11-01
Charlie Fletcher ,none
Kate Elliott ,none
Aliette de Bodard ,1982-11-10
Lindsay Smith ,none
Leah Bobet ,none
Mercedes Lackey,1950-06-24
Robert Jackson Bennett ,none
Daniel Abraham,none
Django Wexler ,none
Victor Milán,1954-08-03
Kass Morgan ,1984-07-21
Katherine Rundell,none
Amari Soul ,none
Phillip Hoose,none
Matt Killeen,none
Aisha Saeed ,none
Sally Slater ,none
I.W. Gregorio ,none
Wendy Mass ,1967-04-22
Liz Braswell ,none
Tessa Elwood ,none
Elizabeth May ,1954-06-09
Sarah Addison Allen ,none
Kate Moore ,none
Karen Cleveland ,none
Toshikazu Kawaguchi,none
Catherine Clark ,none
Matthew Cody ,none
Michael Farr,none
Cora Reilly ,none
Corinne Duyvis ,none
Kim Harrison ,none
Chloe Neill ,1975-05-17
Faith Hunter ,none
Reki Kawahara,1974-08-17
Lauren Oliver ,1982-11-08
Cherie Priest ,1975-07-30
Brit Bennett ,none
Claire North,1986-04-27
Joel N. Ross,none
Anne Rice,1941-10-04
Wayne Koestenbaum,none
Kelly Yang ,none
Ali Novak ,none
Reni Eddo-Lodge,1989-09-25
Carrie Fisher,1956-10-21
Kylie Scott ,none
Bern Bolo ,none
Sara Pennypacker,none
Tom King ,none
Jonathan Auxier ,1981-08-10
Sarah Howden,none
Libba Bray ,1964-03-11
Caitlin Doughty,1984-08-19
Paul C. Nelson,none
Jeff Zentner ,none
Tana French ,1973-05-10
Allison Pataki ,1984-11-25
Alanea Alder ,none
