isbn,main author
9780786818617,Jonathan Stroud 
9780142422953,Gayle Forman 
9780451226259,Chloe Neill 
9780812971064,Azar Nafisi 
9780553280586,Isabel Allende 
9780061214714,Melissa Marr 
9780743289412,Stephen King 
9780803736993,Huntley Fitzpatrick 
9780618062416,Patricia MacLachlan
9780064401746,Michelle Magorian
9780670886586,Salman Rushdie
9780224094153,Julian Barnes
9781622662647,Jennifer L. Armentrout 
9780312304355,Alan Brennert 
9780802720870,Simone Elkeles 
9780786836543,Jonathan Stroud 
9781400063734,Colum McCann 
9780312984830,Sherrilyn Kenyon 
9780385333870,Kurt Vonnegut Jr.
9780380714759,Avi
9781423160915,Rick Riordan 
9780439249546,J.K. Rowling
9781442429987,Moira Young 
9780446579803,Christopher Hitchens
9781419704284,A.G. Howard 
9781501139239,Taylor Jenkins Reid 
9780192839770,Sherwood Anderson
9781416971733,Scott Westerfeld 
9781439153666,Kathleen Grissom 
9781101904220,Blake Crouch 
9780060748159,Ken Follett 
9780312861872,Orson Scott Card
9780805063899,Barbara Ehrenreich
9780399171611,Renée Ahdieh 
9780553271362,Pat Conroy
9780679644194,Carol Rifka Brunt 
9780670072811,Melina Marchetta 
9780385344227,William Landay 
9780670062270,Alison Goodman 
9780061974588,Pittacus Lore
9781476727653,Stephen King 
9780547959108,Joelle Charbonneau
9780099490579,Walter Moers
9781406350487,Patrick Ness
9780553575385,Connie Willis
9780330448444,Kate Morton 
9780142401750,Sarah Dessen 
9780060824976,Megan Whalen Turner 
9780399160301,Ruta Sepetys 
9781416990659,Morgan Matson 
9781401359799,Sergei Lukyanenko
9780553288209,Dan Simmons
9780006498858,Robin Hobb 
9780142401774,Sarah Dessen 
9780765326379,Brandon Sanderson 
9780812513752,Robert Jordan
9780060512637,Thornton Wilder
9780312857066,Terry Goodkind
9780679734772,Sandra Cisneros
9780765343260,Juliet Marillier 
9780671024239,Stephen King 
9780446402392,Tom Rob Smith
9780743296434,Jodi Picoult 
9780547628349,Robin LaFevers
9780545424981,Maggie Stiefvater 
9780060755867,Meg Cabot 
9781442435001,Morgan Matson 
9780006753995,T.H. White
9781442426733,Jenny Han 
9781930900240,Astrid Lindgren
9781423116394,Ally Carter 
9780871137388,Mark Bowden
9780060855901,Terry Pratchett
9780099297703,Thomas Harris
9780671728687,William L. Shirer
9780307595867,Jo Nesbø 
9780141318301,Roald Dahl
9781416509875,Kresley Cole 
9780385495226,Richard Preston
9780062870674,Heather Morris 
9780743272490,Philippa Gregory 
9780060955229,Malcolm Lowry
9781250301697,Alex Michaelides 
9780060264802,Laura Ingalls Wilder
9780525444442,A.A. Milne
9780312992422,Sherrilyn Kenyon 
9780441015832,Ilona Andrews 
9780312424091,Marilynne Robinson
9780060741877,Pat Frank
9780061043499,Dorothy L. Sayers
9780515138818,Robin McKinley
9780143110439,Amor Towles 
9780375700811,Norman Mailer
9780803734739,Kristin Cashore
9780393332148,Patricia Highsmith
9780061583223,Jeaniene Frost 
9780738710181,Simone Elkeles 
9780060748128,Irvin D. Yalom
9780143039594,Stella Gibbons
9780060541811,Michael Crichton
9780340893609,Catherine Fisher
9780060593087,Neal Stephenson 
9780930289454,Alan Moore 
9780803733565,Julia Hoban
9780373802494,Maria V. Snyder 
9780316905718,Darren Shan 
9781477825570,Robert Dugoni 
9780142401651,Anthony Horowitz 
9780991055449,Linda Watkins 
9780571144563,Milan Kundera
9780393352566,Jean Rhys
9780316341684,Laini Taylor 
9780062200570,Joe Hill 
9780141321318,Eoin Colfer
9781416953579,Lisa McMann 
9780553803730,Isaac Asimov
9780060393496,Wally Lamb 
9780373210589,Gena Showalter 
9780525951988,Rainbow Rowell 
9780312662752,Darynda Jones 
9780393307054,Patrick O'Brian
9780679744474,Jeanette Winterson
9780553381351,Tom Wolfe
9780061783180,Jeaniene Frost 
9780765328656,Kendare Blake 
9780552154222,Terry Pratchett
9780804111096,Amy Tan 
9780066211312,Patti Smith 
9780152053109,Jennifer Donnelly 
9780571139613,Mario Vargas Llosa
9780061474095,Neal Stephenson 
9780765387462,V.E. Schwab
9781423102267,Melissa de la Cruz 
9780385342063,Sophie Kinsella 
9780553496680,Nicola Yoon 
9780374266516,Jostein Gaarder
9780618871711,Alison Bechdel
9780375718946,Haruki Murakami
9780064400565,E.B. White
9780545424967,Maggie Stiefvater 
9780399244551,John Flanagan
9780525952923,Ken Follett 
9781573223324,Lian Hearn
9781250044655,Marissa Meyer 
9780307592835,Jennifer Egan 
9780451239358,J.R. Ward 
9780575073609,Jack Finney
9781933480091,Ivan Goncharov
9780765325945,Robert Jordan
9780374275631,Daniel Kahneman
9780062382801,Mackenzi Lee 
9780679767800,Alfred Bester
9780061147951,Joe Hill 
9780765325952,Robert Jordan
9780345419637,Anne Rice
9780688161125,Ken Grimwood
9780743496742,Jodi Picoult 
9780743226721,David McCullough
9780385742375,Lissa Price 
9781620401392,Samantha Shannon 
9780553241600,Leon Uris
9781416552512,Stephen King 
9780571169344,Tom Stoppard
9780743289689,Ayaan Hirsi Ali
9780375759314,Wallace Stegner
9780553382617,Jean M. Auel
9781841954318,Michel Faber
9780316134071,Laini Taylor 
9780061053566,Iain M. Banks
9780385344432,Diana Gabaldon 
9780449208137,Larry Niven
9780061433016,Terry Pratchett
9780007157167,C.S. Lewis
9780007148981,Lynne Reid Banks
