index,0
Rolf Margenau ,none
Robert A. Caro,1935-10-30
Patrick Ness,1971-10-17
Michael West ,none
Celia Rees ,1949-06-17
David Allen,none
Karen Armstrong,1944-11-14
Tove Jansson,1914-08-09
Väinö Linna,1920-12-20
Sharon Shinn,none
Danielle Steel,1947-08-14
Scott Turow ,1949-04-12
Ágota Kristóf,none
Barry Eisler ,none
Georgia Cates ,none
Ted Chiang,none
Mark Twain,1835-11-30
David Gemmell,1948-08-01
Carson McCullers,1917-02-19
Brandon Sanderson ,1975-12-19
Rachel Vincent ,none
Kim Stanley Robinson,1952-03-23
Anne McCaffrey,1926-04-01
Jeyn Roberts ,none
Ruth Ware ,none
E. Lockhart ,none
Sándor Márai,1900-04-11
Judy Blume ,1938-02-12
Cassandra Clare ,1973-07-27
Katherine Howe ,none
George MacDonald,1824-12-10
Kazuo Ishiguro,1954-11-08
Tracy Kidder,1945-11-12
Karl Wiggins ,none
Christopher Moore ,none
Marie Kondō ,1984-10-09
Rick Yancey,1962-11-04
Erich Maria Remarque,1898-06-22
Mercedes Lackey,1950-06-24
Sue Townsend,1946-04-02
Tom Clancy,1947-04-12
Ellen Hopkins ,1955-03-26
Wilbur Smith,1933-01-09
Clare Vanderpool,none
Miyamoto Musashi,none
François Rabelais,none
Jonathan Safran Foer ,1977-02-21
Amelia Atwater-Rhodes ,1984-04-16
Marcel Proust,1871-07-10
Sarah Weeks,1955-03-18
Madeleine Urban,none
Bess Streeter Aldrich,1881-02-17
Carl Hiaasen ,1953-03-12
Daniel Suarez ,1992-01-07
Miranda July ,1974-02-15
Cressida Cowell,1966-04-15
Trevanian,none
Baruch Spinoza,1632-11-24
James M. Cain,1892-07-01
Johan Harstad,1979-02-10
C. Rajagopalachari ,1878-12-10
Tess Gerritsen ,1953-06-12
Tiffanie DeBartolo ,1970-11-27
Genevieve Cogman ,none
D.M. Thomas,1935-01-27
Benjamin Hoff,none
Robert Goolrick,1948-08-04
Isaac Asimov,none
Peter F. Hamilton ,none
Bryce Courtenay,1933-08-14
Lisa See ,1955-02-18
Paul Hoffman,none
Milorad Pavić,1929-10-15
Marilyn Manson,1969-01-05
Kelly Keaton ,none
A.S.A. Harrison,none
Amanda Hocking ,1984-07-12
Neal Stephenson ,1959-10-31
Juliet Marillier ,1948-07-27
Francis Chan,1967-08-31
Henry Roth,1906-02-08
Alain-Fournier,1886-10-03
Gail Carriger ,1976-05-04
Jeffrey Archer,1940-04-15
Arkady Strugatsky,1925-08-28
Leigh Bardugo ,1975-04-06
Ezra Jack Keats,1916-03-11
Daniel O'Malley,none
Terry Goodkind,1948-01-11
Tara Hudson ,none
C.J. Roberts ,"March 20, 1989"
Sara Wolf ,none
Ellen Schreiber,none
Oriana Fallaci,1929-06-29
Elias Canetti,1905-07-25
Thomas Merton,1915-01-31
K. Bromberg ,none
Aldous Huxley,1894-07-26
Kate Quinn ,none
Matsuri Hino,none
Ken Follett ,1949-06-05
Dave Eggers,1970-03-12
Carrie Jones ,none
G.A. Aiken,none
Lois McMaster Bujold ,1949-11-02
Carolyn Keene,none
Travis Luedke ,none
Ursula K. Le Guin,1929-10-21
Charlotte Brontë,1816-04-21
Firoozeh Dumas,1965-06-26
Michael Scott ,none
Samantha Young ,none
Hans Fallada,1893-07-21
Richard P. Feynman,1918-05-11
Paulo Freire,1921-09-19
Samantha Shannon ,1991-11-08
Dave Pelzer ,1960-12-29
Eoin Dempsey ,none
Truman Capote,1924-09-30
George R.R. Martin,1948-09-20
Cynthia Kadohata,1956-07-02
A.A. Milne,1882-01-18
Jenny Han ,none
Vera Jane Cook ,none
Louis de Bernières,1954-12-08
Vivian Vande Velde,none
Vera Brittain,1893-12-29
J.M. Coetzee,1940-02-09
Pat Barker,1943-05-08
Brother Lawrence,none
Katie Alender ,none
Nathanael West,1903-10-17
Ian Fleming,1908-05-28
Kenneth Branagh ,1960-12-10
Joshua Harris,none
Thanhha Lai ,none
John Sandford,none
Darrius Garrett ,1990-04-11
Melissa Petreshock ,none
Jenny Downham,none
Teri Terry ,none
Jen Knox ,none
Erin Lockwood ,none
Louis-Ferdinand Céline,1894-05-27
John Berger,1926-11-05
Al Stone ,none
José Saramago,1922-11-16
Rudyard Kipling,1865-12-30
Dr. Seuss,1904-03-02
Stephenie Meyer,1973-12-24
Andrew Clements,1949-05-29
Karen Ann Hopkins ,none
P.I. Alltraine ,none
Diane Ackerman ,1948-10-07
Chetan Bhagat,1974-04-22
Adam Gidwitz ,1982-02-14
Arthur Schnitzler,1862-05-15
Max Barry ,1973-03-18
Kurt Vonnegut Jr.,1922-11-11
Margaret Peterson Haddix,1964-04-09
Kresley Cole ,none
Elizabeth Scott ,none
Joe Connolly,none
Cristiane Serruya,none
Mary Ramsey ,1963-12-24
Chanda Hahn ,none
Chelsea Luna ,none
Rucy Ban ,none
Jennifer Loren ,none
Michael Herr,1940-04-13
Pramoedya Ananta Toer,1925-02-06
Will Durant,1885-11-05
Laura Wiess,none
Ki Longfellow ,1944-12-09
Angela Carter,1940-05-07
Anne Michaels,1958-04-15
Deepak Chopra ,1946-10-22
Jordan Sonnenblick,1969-07-04
C.D. Payne,1949-07-05
Bill Konigsberg ,1970-11-11
Douglas Adams,1952-03-11
Terry Pratchett ,1948-04-28
Alison Croggon ,1962
Brent LeVasseur ,none
Stephen Hawking,1942-01-08
O.L. Ramos ,none
Stephen Fry,1957-08-24
Patricia Briggs,none
Richard Matheson,1926-02-20
Jennifer Echols ,none
Arthur Rimbaud,1854-10-20
Linda Sue Park,1960-03-25
Colson Whitehead ,1969-11-06
Torey L. Hayden,none
John Banville,1945-12-08
T.S. Eliot,1888-09-26
Solomon Northup,none
Orhan Pamuk,1952-06-07
Karen Marie Moning ,none
Gavin de Becker,1954-10-26
Meša Selimović,1910-04-26
Christine Zolendz ,none
Helen Dunmore,1952-12-12
Frank Schätzing,1957-05-28
Erin Morgenstern ,1978-07-08
Ann M. Martin,1955-08-12
Charles C. Mann,none
Kristen Simmons ,none
Kirsten Miller ,none
Michelle Leighton ,none
Frederik Pohl,1919-11-26
Kathy Reichs ,none
Louise Penny ,none
Helen Hooven Santmyer,1895-11-25
E.H. Gombrich,1909-03-30
Pascal Mercier,1944-06-23
Jez Jones,none
David Grann,1967-03-10
Cara Lynn Shultz ,none
James Faro ,none
Primo Levi,1919-07-31
Matt Haig ,1975-07-03
Anne Brontë,1820-01-17
Hiro Arikawa,none
Ralph Moody,1917-09-10
Alastair Reynolds,1966-03-13
Gabrielle Zevin ,1977-10-24
Victoria Hanley,none
Debra Anastasia ,none
Iris Murdoch,1919-07-15
Julianna Baggott ,none
Mario Vargas Llosa,1936-03-28
R. Scott Bakker,1967-02-02
Fábio Moon,none
Rosamund Lupton ,none
Katsuhiro Otomo,1954-04-14
Patrick Carman ,1966-02-27
Tim Tharp,none
Peter Singer ,1946-07-06
Harlan Coben ,none
Yangsze Choo ,none
K.A. Tucker ,none
Maya Banks ,none
Joel C. Rosenberg ,1967-04-17
Cao Xueqin,1710-04-04
Julia Glass ,1956-03-23
Nicholas D. Kristof ,1959-04-27
Morgan Matson ,none
Erich Fromm,none
Renée Ahdieh ,none
Eve Ensler,1953-05-25
George Saunders,1958-12-02
Jonathan Lethem,1964-02-19
James Sillwood ,none
Bruno Schulz,1892-07-12
Alex Flinn ,1966-10-23
Jean Hegland ,none
Harold Bell Wright,none
Ilona Andrews ,none
Olivia Hawker,none
Jon Krakauer ,1954-04-12
Aldo Leopold,1887-01-11
Margot Lee Shetterly ,1969-06-30
Alice Oseman ,1994-10-16
Lance Armstrong,1971-09-18
William Wharton,none
H.G. Wells,1866-09-21
Dodie Smith,1896-05-03
Scott Heim,1966-09-26
Luís de Camões,none
Tina Reber ,none
Anne Elisabeth Stengl ,none
Amy Ewing,none
Antony Beevor,1946-12-14
Jack Weyland,none
Tucker Max ,1975-09-27
Jessica Khoury ,none
Clarice Lispector,1920-12-10
Tim Burton,1958-08-25
Atul Gawande,1965-11-05
Michel Foucault,none
Mark Cotta Vaz,none
Ron Millicent ,none
A.J. Jacobs,1968-03-20
Jessica Clare ,none
Christine Sparks,none
James L. Ferrell ,none
S.E. Hinton ,1948-07-22
Tymber Dalton ,none
Sarah Waters,1966-07-21
Cynthia Collins ,none
María Dueñas,none
Courtney Summers ,none
Thomas Hardy,1840-06-02
Dan Wells ,none
Gustave Flaubert,1821-12-12
Julie Kagawa ,1982-10-12
Marion Zimmer Bradley,1930-06-03
Alistair MacLeod,1936-07-20
Jasper Fforde ,1961-01-11
Estelle Maskame ,none
Manuel Puig,1932-12-28
Robin Gregory ,none
M.L. Rio ,none
Robertson Davies,1913-08-28
Patricia Cornwell ,1956-06-09
Patrick O'Brian,none
Chitra Banerjee Divakaruni ,none
Stanisław Lem,none
Eric Weiner ,none
Octavia E. Butler,1947-06-22
Lin-Manuel Miranda,1980-01-16
Raymond Chandler,1888-07-23
Mark Waid,1962-03-21
Norman Mailer,1923-01-31
Chris Hadfield,1959-08-29
Gary Santorella,none
Sigmund Freud,1856-05-06
Kate Egan,1976-05-10
M.R. James,1862-08-01
Victoria Schwab ,1987-07-07
Felix Alexander ,none
Alice Walker,1944-02-09
Anna Todd ,1989-03-20
Oyinkan Braithwaite ,none
Mary Downing Hahn ,none
Charles Martin ,none
Robert Charles Wilson,1953-12-15
Philippa Gregory ,1954-01-09
Joseph Delaney ,1945-07-25
Anchee Min,1957-01-14
Steve Martin ,1945-08-14
Justin Cronin ,none
Suzanne LaFleur ,none
Ilya Ilf,none
Christopher Priest,none
Louise Erdrich,1954-06-07
Mackenzi Lee ,none
Margaret Rogerson ,none
Aimee Bender ,1969-06-28
R.K. Narayan,1906-10-10
Erin Watt ,none
Dennis Cooper,1953-01-10
Robert A. Heinlein,1907-07-07
Eleanor Coerr,1922-05-29
Michael Moorcock,1939-12-18
Eugene B. Sledge,1923-11-04
Stacia Kane ,none
Cupcake Brown,none
Roméo Dallaire,1946-06-25
Dia Reeves,none
D.H. Lawrence,1885-09-11
Louisa May Alcott,1832-11-29
Victoria Scott ,1982-02-01
Morgan Rhodes ,none
Claude Bouchard ,none
Robert Tressell,none
Robert McLiam Wilson,none
A.G. Howard ,none
Jay Asher ,1975-09-30
Joss Stirling ,none
V.S. Naipaul,1932-08-17
Shelly Crane ,none
Hampton Sides,none
